ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-10-01,47062786.49711544,39232575.20883774,48247630.41320742,47062786.49711544,47062786.49711544,-3338817.8312185607,-3338817.8312185607,-3338817.8312185607,-3338817.8312185607,-3338817.8312185607,-3338817.8312185607,0.0,0.0,0.0,43723968.66589688
2010-10-08,47063542.42869142,40415180.68829025,49529308.40941604,47063542.42869142,47063542.42869142,-2177133.66714413,-2177133.66714413,-2177133.66714413,-2177133.66714413,-2177133.66714413,-2177133.66714413,0.0,0.0,0.0,44886408.76154729
2010-10-15,47064298.360267386,40381089.83305365,49038746.8003229,47064298.360267386,47064298.360267386,-2358874.6055206275,-2358874.6055206275,-2358874.6055206275,-2358874.6055206275,-2358874.6055206275,-2358874.6055206275,0.0,0.0,0.0,44705423.75474676
2010-10-22,47065055.84575178,39508735.36842662,48228698.330214985,47065055.84575178,47065055.84575178,-3230580.3329437533,-3230580.3329437533,-3230580.3329437533,-3230580.3329437533,-3230580.3329437533,-3230580.3329437533,0.0,0.0,0.0,43834475.512808025
2010-10-29,47065813.33123618,39843424.707592696,48444215.34457244,47065813.33123618,47065813.33123618,-2951254.3777254904,-2951254.3777254904,-2951254.3777254904,-2951254.3777254904,-2951254.3777254904,-2951254.3777254904,0.0,0.0,0.0,44114558.953510694
2010-11-05,47066570.81672058,42087730.804267794,50843235.038196154,47066570.81672058,47066570.81672058,-751400.5580894874,-751400.5580894874,-751400.5580894874,-751400.5580894874,-751400.5580894874,-751400.5580894874,0.0,0.0,0.0,46315170.258631095
2010-11-12,47067328.30220499,44771726.43413951,53601980.34474982,47067328.30220499,47067328.30220499,2147839.8294297936,2147839.8294297936,2147839.8294297936,2147839.8294297936,2147839.8294297936,2147839.8294297936,0.0,0.0,0.0,49215168.13163478
2010-11-19,47068085.78768939,46692902.858738184,55819303.22952706,47068085.78768939,47068085.78768939,4216730.95743453,4216730.95743453,4216730.95743453,4216730.95743453,4216730.95743453,4216730.95743453,0.0,0.0,0.0,51284816.745123915
2010-11-26,47070547.92525424,48352415.960919224,57589995.87465054,47070547.92525424,47070547.92525424,5771943.844114701,5771943.844114701,5771943.844114701,5771943.844114701,5771943.844114701,5771943.844114701,0.0,0.0,0.0,52842491.76936894
2010-12-03,47073010.06281909,51325465.69661051,60157273.402081154,47073010.06281909,47073010.06281909,8605296.436290093,8605296.436290093,8605296.436290093,8605296.436290093,8605296.436290093,8605296.436290093,0.0,0.0,0.0,55678306.499109186
2010-12-10,47075472.200383954,55806965.91627548,64580404.454079635,47075472.200383954,47075472.200383954,13144606.00381381,13144606.00381381,13144606.00381381,13144606.00381381,13144606.00381381,13144606.00381381,0.0,0.0,0.0,60220078.204197764
2010-12-17,47077934.33794881,59396149.993128926,68217138.09788688,47077934.33794881,47077934.33794881,16607420.434963256,16607420.434963256,16607420.434963256,16607420.434963256,16607420.434963256,16607420.434963256,0.0,0.0,0.0,63685354.77291206
2010-12-24,47081833.90773314,57837124.40270547,66250816.960051514,47081833.90773314,47081833.90773314,14964510.086674469,14964510.086674469,14964510.086674469,14964510.086674469,14964510.086674469,14964510.086674469,0.0,0.0,0.0,62046343.99440761
2010-12-31,47085733.47751747,50095398.87399458,58790936.67312233,47085733.47751747,47085733.47751747,7176514.238677525,7176514.238677525,7176514.238677525,7176514.238677525,7176514.238677525,7176514.238677525,0.0,0.0,0.0,54262247.716194995
2011-01-07,47089633.04730181,39864750.90833453,48300305.7005652,47089633.04730181,47089633.04730181,-2874300.4370343396,-2874300.4370343396,-2874300.4370343396,-2874300.4370343396,-2874300.4370343396,-2874300.4370343396,0.0,0.0,0.0,44215332.61026747
2011-01-14,47093532.61708615,33181204.568092547,42113908.53106124,47093532.61708615,47093532.61708615,-9246253.5607133,-9246253.5607133,-9246253.5607133,-9246253.5607133,-9246253.5607133,-9246253.5607133,0.0,0.0,0.0,37847279.05637285
2011-01-21,47097432.186870486,33810109.02471453,42487518.68069768,47097432.186870486,47097432.186870486,-8969535.339652464,-8969535.339652464,-8969535.339652464,-8969535.339652464,-8969535.339652464,-8969535.339652464,0.0,0.0,0.0,38127896.84721802
2011-01-28,47103861.63822514,38435345.97564702,47251288.84375612,47103861.63822514,47103861.63822514,-4235414.859304287,-4235414.859304287,-4235414.859304287,-4235414.859304287,-4235414.859304287,-4235414.859304287,0.0,0.0,0.0,42868446.77892085
2011-02-04,47110291.08957978,42952956.16172089,51960363.870195374,47110291.08957978,47110291.08957978,221160.8571694212,221160.8571694212,221160.8571694212,221160.8571694212,221160.8571694212,221160.8571694212,0.0,0.0,0.0,47331451.9467492
2011-02-11,47116720.54093443,43687874.98929386,53192287.1055676,47116720.54093443,47116720.54093443,1513851.644961733,1513851.644961733,1513851.644961733,1513851.644961733,1513851.644961733,1513851.644961733,0.0,0.0,0.0,48630572.18589616
2011-02-18,47123149.992289074,43012924.20762811,51831660.09449391,47123149.992289074,47123149.992289074,335319.74098875787,335319.74098875787,335319.74098875787,335319.74098875787,335319.74098875787,335319.74098875787,0.0,0.0,0.0,47458469.733277835
2011-02-25,47132499.30480988,41551063.89474932,50407831.355226696,47132499.30480988,47132499.30480988,-1021998.5581891475,-1021998.5581891475,-1021998.5581891475,-1021998.5581891475,-1021998.5581891475,-1021998.5581891475,0.0,0.0,0.0,46110500.74662074
2011-03-04,47141848.617330685,41312985.95786123,50170103.866860636,47141848.617330685,47141848.617330685,-1437573.3236413498,-1437573.3236413498,-1437573.3236413498,-1437573.3236413498,-1437573.3236413498,-1437573.3236413498,0.0,0.0,0.0,45704275.29368933
2011-03-11,47151197.92985149,40548830.265021525,50455507.873188816,47151197.92985149,47151197.92985149,-1470561.0523577016,-1470561.0523577016,-1470561.0523577016,-1470561.0523577016,-1470561.0523577016,-1470561.0523577016,0.0,0.0,0.0,45680636.877493784
2011-03-18,47160547.2423723,40972989.223142564,49722581.60826649,47160547.2423723,47160547.2423723,-1780623.9187441939,-1780623.9187441939,-1780623.9187441939,-1780623.9187441939,-1780623.9187441939,-1780623.9187441939,0.0,0.0,0.0,45379923.323628105
2011-03-25,47169896.55489309,40660307.87500149,49638379.636429995,47169896.55489309,47169896.55489309,-1999747.194004413,-1999747.194004413,-1999747.194004413,-1999747.194004413,-1999747.194004413,-1999747.194004413,0.0,0.0,0.0,45170149.360888675
2011-04-01,47181639.12296215,40996071.72976499,50247776.770534575,47181639.12296215,47181639.12296215,-1457713.2456857057,-1457713.2456857057,-1457713.2456857057,-1457713.2456857057,-1457713.2456857057,-1457713.2456857057,0.0,0.0,0.0,45723925.87727644
2011-04-08,47193381.69103119,42280572.73616594,51270914.12902627,47193381.69103119,47193381.69103119,-459831.26237124886,-459831.26237124886,-459831.26237124886,-459831.26237124886,-459831.26237124886,-459831.26237124886,0.0,0.0,0.0,46733550.42865994
2011-04-15,47205124.259100236,42353213.66480622,51597393.17683559,47205124.259100236,47205124.259100236,-159015.37171009232,-159015.37171009232,-159015.37171009232,-159015.37171009232,-159015.37171009232,-159015.37171009232,0.0,0.0,0.0,47046108.887390144
2011-04-22,47216866.827169284,41736711.58719141,50726720.756976485,47216866.827169284,47216866.827169284,-1102976.450793814,-1102976.450793814,-1102976.450793814,-1102976.450793814,-1102976.450793814,-1102976.450793814,0.0,0.0,0.0,46113890.37637547
2011-04-29,47229070.99147129,40525213.08524294,49195167.35780834,47229070.99147129,47229070.99147129,-2399170.9460603986,-2399170.9460603986,-2399170.9460603986,-2399170.9460603986,-2399170.9460603986,-2399170.9460603986,0.0,0.0,0.0,44829900.045410894
2011-05-06,47241275.1557733,40121638.16983423,48802933.97642455,47241275.1557733,47241275.1557733,-2663607.332369792,-2663607.332369792,-2663607.332369792,-2663607.332369792,-2663607.332369792,-2663607.332369792,0.0,0.0,0.0,44577667.82340351
2011-05-13,47253479.3200753,41146050.80038118,49848040.780146256,47253479.3200753,47253479.3200753,-1599615.4714141323,-1599615.4714141323,-1599615.4714141323,-1599615.4714141323,-1599615.4714141323,-1599615.4714141323,0.0,0.0,0.0,45653863.84866117
2011-05-20,47265683.48437731,42428437.73237737,51676563.33746486,47265683.48437731,47265683.48437731,-252314.35126456103,-252314.35126456103,-252314.35126456103,-252314.35126456103,-252314.35126456103,-252314.35126456103,0.0,0.0,0.0,47013369.13311275
2011-05-27,47277887.64867932,43489679.942688204,51970802.36543774,47277887.64867932,47277887.64867932,304503.4910670285,304503.4910670285,304503.4910670285,304503.4910670285,304503.4910670285,304503.4910670285,0.0,0.0,0.0,47582391.13974635
2011-06-03,47290167.39396405,42517760.2534468,51736353.97846216,47290167.39396405,47290167.39396405,144247.09438151075,144247.09438151075,144247.09438151075,144247.09438151075,144247.09438151075,144247.09438151075,0.0,0.0,0.0,47434414.48834556
2011-06-10,47302447.13924878,43057630.22659896,52161232.49667679,47302447.13924878,47302447.13924878,119741.22654550099,119741.22654550099,119741.22654550099,119741.22654550099,119741.22654550099,119741.22654550099,0.0,0.0,0.0,47422188.36579428
2011-06-17,47314726.88453351,43456899.10335883,52477475.36453133,47314726.88453351,47314726.88453351,587871.2088383726,587871.2088383726,587871.2088383726,587871.2088383726,587871.2088383726,587871.2088383726,0.0,0.0,0.0,47902598.09337188
2011-06-24,47327006.62981823,44088474.88915655,52677959.35516525,47327006.62981823,47327006.62981823,945945.9819955862,945945.9819955862,945945.9819955862,945945.9819955862,945945.9819955862,945945.9819955862,0.0,0.0,0.0,48272952.61181381
2011-07-01,47339464.077203885,43398914.76742844,52529165.82812905,47339464.077203885,47339464.077203885,503906.25824304967,503906.25824304967,503906.25824304967,503906.25824304967,503906.25824304967,503906.25824304967,0.0,0.0,0.0,47843370.33544693
2011-07-08,47351921.524589546,42377138.42959052,51216766.380905464,47351921.524589546,47351921.524589546,-560743.4349142667,-560743.4349142667,-560743.4349142667,-560743.4349142667,-560743.4349142667,-560743.4349142667,0.0,0.0,0.0,46791178.08967528
2011-07-15,47364378.97197519,41563152.180035084,50772088.83678482,47364378.97197519,47364378.97197519,-1426696.325132773,-1426696.325132773,-1426696.325132773,-1426696.325132773,-1426696.325132773,-1426696.325132773,0.0,0.0,0.0,45937682.64684242
2011-07-22,47376836.419360854,41338176.37692377,50283296.72221046,47376836.419360854,47376836.419360854,-1637600.7257118751,-1637600.7257118751,-1637600.7257118751,-1637600.7257118751,-1637600.7257118751,-1637600.7257118751,0.0,0.0,0.0,45739235.69364898
2011-07-29,47389293.866746515,41318917.29179775,50680282.12070947,47389293.866746515,47389293.866746515,-1491293.769854121,-1491293.769854121,-1491293.769854121,-1491293.769854121,-1491293.769854121,-1491293.769854121,0.0,0.0,0.0,45898000.096892394
2011-08-05,47401836.292483315,41717808.32562627,50528418.94789471,47401836.292483315,47401836.292483315,-1373024.0861603697,-1373024.0861603697,-1373024.0861603697,-1373024.0861603697,-1373024.0861603697,-1373024.0861603697,0.0,0.0,0.0,46028812.206322946
2011-08-12,47414378.718220115,41719139.60659677,50923824.88489709,47414378.718220115,47414378.718220115,-1124868.3708019631,-1124868.3708019631,-1124868.3708019631,-1124868.3708019631,-1124868.3708019631,-1124868.3708019631,0.0,0.0,0.0,46289510.34741815
2011-08-19,47426921.14395691,42222384.56126574,51480531.2123092,47426921.14395691,47426921.14395691,-456345.68381886615,-456345.68381886615,-456345.68381886615,-456345.68381886615,-456345.68381886615,-456345.68381886615,0.0,0.0,0.0,46970575.46013804
2011-08-26,47439463.56969371,43168020.40977913,52169116.24570499,47439463.56969371,47439463.56969371,201544.17997840286,201544.17997840286,201544.17997840286,201544.17997840286,201544.17997840286,201544.17997840286,0.0,0.0,0.0,47641007.74967211
2011-09-02,47452059.07178884,42941333.77522112,51994612.40548441,47452059.07178884,47452059.07178884,-176583.0778239395,-176583.0778239395,-176583.0778239395,-176583.0778239395,-176583.0778239395,-176583.0778239395,0.0,0.0,0.0,47275475.9939649
2011-09-09,47464654.57388397,41191264.97131929,50017143.91814673,47464654.57388397,47464654.57388397,-1945947.5342248795,-1945947.5342248795,-1945947.5342248795,-1945947.5342248795,-1945947.5342248795,-1945947.5342248795,0.0,0.0,0.0,45518707.03965909
2011-09-16,47477250.075979106,39125699.81370199,48167908.113166,47477250.075979106,47477250.075979106,-3982247.675444357,-3982247.675444357,-3982247.675444357,-3982247.675444357,-3982247.675444357,-3982247.675444357,0.0,0.0,0.0,43495002.40053475
2011-09-23,47489845.57807424,38485649.03350029,47452394.987095706,47489845.57807424,47489845.57807424,-4645413.852866556,-4645413.852866556,-4645413.852866556,-4645413.852866556,-4645413.852866556,-4645413.852866556,0.0,0.0,0.0,42844431.72520769
2011-09-30,47502441.08016938,39205797.694326214,48508655.73337631,47502441.08016938,47502441.08016938,-3608581.775446538,-3608581.775446538,-3608581.775446538,-3608581.775446538,-3608581.775446538,-3608581.775446538,0.0,0.0,0.0,43893859.304722846
2011-10-07,47515036.59461808,40667741.134213775,49703122.77867666,47515036.59461808,47515036.59461808,-2301656.082293019,-2301656.082293019,-2301656.082293019,-2301656.082293019,-2301656.082293019,-2301656.082293019,0.0,0.0,0.0,45213380.51232506
2011-10-14,47527632.10906678,40693240.31125673,49730987.85976086,47527632.10906678,47527632.10906678,-2230052.6361333495,-2230052.6361333495,-2230052.6361333495,-2230052.6361333495,-2230052.6361333495,-2230052.6361333495,0.0,0.0,0.0,45297579.47293343
2011-10-21,47540227.62351549,40088431.78050638,48972479.89150922,47540227.62351549,47540227.62351549,-3107437.0219416097,-3107437.0219416097,-3107437.0219416097,-3107437.0219416097,-3107437.0219416097,-3107437.0219416097,0.0,0.0,0.0,44432790.60157388
2011-10-28,47552823.13796418,39985932.3015765,48753261.702531256,47552823.13796418,47552823.13796418,-3148188.57095415,-3148188.57095415,-3148188.57095415,-3148188.57095415,-3148188.57095415,-3148188.57095415,0.0,0.0,0.0,44404634.56701003
2011-11-04,47565418.65156752,41559527.75875424,50475787.69571917,47565418.65156752,47565418.65156752,-1249953.3322590874,-1249953.3322590874,-1249953.3322590874,-1249953.3322590874,-1249953.3322590874,-1249953.3322590874,0.0,0.0,0.0,46315465.31930843
2011-11-11,47578014.165170856,45168135.362837225,53812493.8683596,47578014.165170856,47578014.165170856,1662903.913770549,1662903.913770549,1662903.913770549,1662903.913770549,1662903.913770549,1662903.913770549,0.0,0.0,0.0,49240918.078941405
2011-11-18,47590609.67877419,47209788.93746291,56126223.15125669,47590609.67877419,47590609.67877419,3924884.1024686187,3924884.1024686187,3924884.1024686187,3924884.1024686187,3924884.1024686187,3924884.1024686187,0.0,0.0,0.0,51515493.78124281
2011-11-25,47603205.19237754,48666203.05711716,57474858.04483167,47603205.19237754,47603205.19237754,5453081.926374074,5453081.926374074,5453081.926374074,5453081.926374074,5453081.926374074,5453081.926374074,0.0,0.0,0.0,53056287.118751615
2011-12-02,47615800.70598087,50931924.66192413,59756481.798346125,47615800.70598087,47615800.70598087,7946153.598628478,7946153.598628478,7946153.598628478,7946153.598628478,7946153.598628478,7946153.598628478,0.0,0.0,0.0,55561954.30460934
2011-12-09,47628396.219338104,55400489.8535637,64423795.449824326,47628396.219338104,47628396.219338104,12294307.784521133,12294307.784521133,12294307.784521133,12294307.784521133,12294307.784521133,12294307.784521133,0.0,0.0,0.0,59922704.00385924
2011-12-16,47640991.73269534,59483053.44784078,68337695.32032484,47640991.73269534,47640991.73269534,16262740.457352774,16262740.457352774,16262740.457352774,16262740.457352774,16262740.457352774,16262740.457352774,0.0,0.0,0.0,63903732.19004811
2011-12-23,47653587.24605257,58766116.42083082,68046068.40750241,47653587.24605257,47653587.24605257,15744888.412057213,15744888.412057213,15744888.412057213,15744888.412057213,15744888.412057213,15744888.412057213,0.0,0.0,0.0,63398475.658109784
2011-12-30,47666182.75940979,52054468.54636816,61319221.62980964,47666182.75940979,47666182.75940979,8900332.97624908,8900332.97624908,8900332.97624908,8900332.97624908,8900332.97624908,8900332.97624908,0.0,0.0,0.0,56566515.73565887
2012-01-06,47678778.280779324,41820457.047967024,50903048.39428906,47678778.280779324,47678778.280779324,-1190290.533239266,-1190290.533239266,-1190290.533239266,-1190290.533239266,-1190290.533239266,-1190290.533239266,0.0,0.0,0.0,46488487.74754006
2012-01-13,47691373.80214886,34920119.98133771,43378010.02485048,47691373.80214886,47691373.80214886,-8579386.1557429,-8579386.1557429,-8579386.1557429,-8579386.1557429,-8579386.1557429,-8579386.1557429,0.0,0.0,0.0,39111987.646405965
2012-01-20,47703969.323518395,34027703.996284835,42711701.089951396,47703969.323518395,47703969.323518395,-9468170.434403423,-9468170.434403423,-9468170.434403423,-9468170.434403423,-9468170.434403423,-9468170.434403423,0.0,0.0,0.0,38235798.889114976
2012-01-27,47716564.84488793,37890600.47812007,47199816.5951334,47716564.84488793,47716564.84488793,-5194989.32565637,-5194989.32565637,-5194989.32565637,-5194989.32565637,-5194989.32565637,-5194989.32565637,0.0,0.0,0.0,42521575.51923156
2012-02-03,47729160.366257474,43193298.21178286,51445583.2739625,47729160.366257474,47729160.366257474,-377084.3567452089,-377084.3567452089,-377084.3567452089,-377084.3567452089,-377084.3567452089,-377084.3567452089,0.0,0.0,0.0,47352076.00951227
2012-02-10,47741755.886882976,45151394.473744825,53807894.09603088,47741755.886882976,47741755.886882976,1523638.9048777786,1523638.9048777786,1523638.9048777786,1523638.9048777786,1523638.9048777786,1523638.9048777786,0.0,0.0,0.0,49265394.79176076
2012-02-17,47754351.40750849,43658264.343034506,52883101.08204528,47754351.40750849,47754351.40750849,621613.4625582029,621613.4625582029,621613.4625582029,621613.4625582029,621613.4625582029,621613.4625582029,0.0,0.0,0.0,48375964.870066695
2012-02-24,47766946.928134,42515780.98695006,51028182.82105429,47766946.928134,47766946.928134,-843590.6599368729,-843590.6599368729,-843590.6599368729,-843590.6599368729,-843590.6599368729,-843590.6599368729,0.0,0.0,0.0,46923356.26819713
2012-03-02,47779542.4487595,41714283.39520086,50996961.11718148,47779542.4487595,47779542.4487595,-1420069.3444940387,-1420069.3444940387,-1420069.3444940387,-1420069.3444940387,-1420069.3444940387,-1420069.3444940387,0.0,0.0,0.0,46359473.10426547
2012-03-09,47792137.97250984,41988654.856966205,50375207.02059516,47792137.97250984,47792137.97250984,-1451368.2094882634,-1451368.2094882634,-1451368.2094882634,-1451368.2094882634,-1451368.2094882634,-1451368.2094882634,0.0,0.0,0.0,46340769.76302157
2012-03-16,47804733.496260166,41657962.80424517,50715516.446279265,47804733.496260166,47804733.496260166,-1708828.6277814934,-1708828.6277814934,-1708828.6277814934,-1708828.6277814934,-1708828.6277814934,-1708828.6277814934,0.0,0.0,0.0,46095904.86847867
2012-03-23,47817329.02001051,41353778.35844953,50366446.836224616,47817329.02001051,47817329.02001051,-2004712.7508199122,-2004712.7508199122,-2004712.7508199122,-2004712.7508199122,-2004712.7508199122,-2004712.7508199122,0.0,0.0,0.0,45812616.269190595
2012-03-30,47829924.54376084,42029292.84453081,50750957.912143834,47829924.54376084,47829924.54376084,-1613876.845223488,-1613876.845223488,-1613876.845223488,-1613876.845223488,-1613876.845223488,-1613876.845223488,0.0,0.0,0.0,46216047.69853736
